,Hand,Hat,Fit,Mouth,Eyes,Skin,Hair,Background,FX,Face Accessory,Hand Back,Hand Open L Attr,Head Accessory,Hand Face Attr,Earring,Back,Neck,Hand Open R Attr,Hand Palm Attr,Hand Hold Attr,Head,Legendary,Rarity score,Token Id
6596,None,None,Black Varsity Jacket,A,Red,Darker,Long Locks,Blue,None,None,Dark Shotgun,None,None,None,None,None,None,None,None,None,None,None,13.734236762702457,6597
6597,Default Open L,None,Midnight Gown,A,Black,Default,Bob,Purple,None,Oval Sunglasses,Red Excalibur,phase.module [a globe is rolling] v0.03,None,None,None,None,None,None,None,None,None,None,53.634346688487774,6598
6598,Default Hand Face,Ushanka,Ronin,Pout,Silver,Default,Bob,Blue,None,None,Great Sword,None,None,Silence,None,None,None,None,None,None,None,None,51.50259272885662,6599
6599,Dark Open L,None,Blue Male Yukata,Smile,Black,Dark,Short Fringe,Blue,None,None,None,Flame,None,None,None,None,Chain Necklace,None,None,None,None,None,42.88304245239073,6600
6600,Dark Hand ETH,Newsboy Hat,Side Shirt,Open,Hazel,Dark,Braided Bun,Blue,None,None,Red Saber,None,None,None,None,Dark Oni Head,None,None,None,None,None,None,51.13771862841335,6601
6601,None,None,Dark WAGMI Bomber,Smile,Black,Dark,None,Off White,None,None,None,None,None,None,None,None,None,None,None,None,Skull,None,19.991617899904178,6602
6602,Default Hand ETH,None,Dark Half Yukata,Pout,Hazel,Default,Long Side Swept,Light Purple,None,Splatter,Shotgun,None,None,None,None,Quiver,None,None,None,None,None,None,53.049082768143116,6603
6603,Default Hand ETH,Beanie,Dark Formal Dress,Grin,Green,Default,Hime Ponytail,Green Gray,None,None,None,None,None,None,None,None,None,None,None,None,None,None,25.144622266786236,6604
6604,None,None,Green Open Vest,Meh,Green,Dark,Long Fringe,Navy,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.3844516964761175,6605
6605,None,None,Black Victorian Blazer,Meh,Green,Darker,Bowl Cut,Off White,None,None,Dark Sheathed Katana,None,None,None,None,None,None,None,None,None,None,None,15.41468776820615,6606
6606,None,None,Dark Streetsuit,Meh,Silver,Dark,Messy,White,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.5634591914064067,6607
6607,Dark Open R,None,Heart Halter,Grunt,Void,Dark,Hime Ponytail,Dark,None,None,None,None,None,None,None,None,None,Apple,None,None,None,None,30.305081054550005,6608
6608,None,None,Leather Coat,Open,Void,Dark,Slick Back,Blue,None,None,Katana,None,None,None,None,None,None,None,None,None,None,None,13.25628412372011,6609
6609,Default Hand Face,Dark Spacehelm,Half Yukata,Grin,Closed,Default,Bangs Short,Green Gray,None,Scar 2,Machete,None,None,Fangs,None,None,None,None,None,None,None,None,66.96293717563661,6610
6610,Default Open L,None,Navy Haus T-Shirt,Smile,Silver,Default,Bangs Short,Red,None,None,Dark Shotgun,phase.module [the generation] v0.02,None,None,None,None,Crow,None,None,None,None,None,54.85915753135728,6611
6611,Fiend Open R,Navy Beanie,Serpent Raider,Pout,Eye Cover,Fiend,Twin Bun,Blue,None,None,None,None,None,None,None,None,None,Dice,None,None,None,None,45.88033656425727,6612
6612,None,None,Turtleneck Blazer,Grunt,Red,Demon,Clean,Navy,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5.278170598723484,6613
6613,None,None,Pretty Half Yukata,Bubblegum,Red,Fiend,Long Twintail,White,None,None,Dark Edge,None,None,None,None,None,None,None,None,None,None,None,18.579264899786878,6614
6614,None,None,Dark Half Yukata,A,Pink,Darker,Long Twintail,White,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3.969487957578771,6615
6615,Default Hand Palm,None,Open Jacket,Mumble,Silver,Default,Straight Headband,Green Gray,None,None,None,None,None,None,None,None,None,None,Cutter,None,None,None,28.791744539930548,6616
6616,None,None,Yellow Trainer,Meh,Pink,Dark,Slick Back,Red,None,None,Bat,None,None,None,Dice,None,None,None,None,None,None,None,29.79900019861974,6617
6617,None,None,MURI Hoodie,Face Mask,Pink,Darker,Twin Bun,Purple,Petals,None,Shotgun,None,None,None,None,None,None,None,None,None,None,None,30.867723684056443,6618
6618,None,None,White Asian Top,Big Smile,Silver,Darker,Bun,Blue,None,None,Katana,None,None,None,None,None,None,None,None,None,None,None,13.638661679227408,6619
6619,None,Navy Beanie,Metal,A,Void,Dark,Side Fringe,Off White,None,Scar,None,None,None,None,None,None,None,None,None,None,None,None,31.060579170679926,6620
6620,None,None,White Ether,Biting Lips,Hazel,Dark,Bun,Dark,None,None,Dark Machete,None,None,None,None,None,None,None,None,None,None,None,14.547464006874272,6621
6621,None,None,Pretty Half Yukata,Face Mask,Closed,Dark,Bob,Red,Cash,None,Tech Sword,None,None,None,None,None,Headphone,None,None,None,None,None,44.41681282161061,6622
6622,None,None,Black Koi Tees,Face Mask,Silver,Pale,Straight Headband,Purple,None,Browline Glasses,Red Tech Sword,None,None,None,None,None,None,None,None,None,None,None,31.919155173059092,6623
6623,None,Hat,Onyx Technocoat,Bland,Silver,Darker,Short Spiky,Navy,None,None,Tech Sword,None,None,None,None,None,None,None,None,None,None,None,28.70792704237242,6624
6624,Default Hold,Spacehelm,City Assassin,Open,Green,Default,Long Locks,White,None,None,None,None,None,None,None,None,None,None,None,Revolver,None,None,41.003250289867324,6625
6625,None,None,Dark Blazer,Mumble,Green,Dark,Hime Cut,Light Purple,None,None,None,None,None,None,None,Ribcage,None,None,None,None,None,None,17.611043736273434,6626
6626,None,None,Dark Jeans Hoodie,Mask,Black,Dark,Two Block,Blue,None,None,None,None,None,None,ETH,None,None,None,None,None,None,None,16.93499014906774,6627
6627,None,None,Light Open Jacket,Big Smile,Black,Dark,Clean,Dark,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.2853673938023995,6628
6628,Default Hold,None,Brown Formal Dress,Mask,Red,Default,Short Ponytail,Blue,None,None,Red Tech Sword,None,None,None,None,None,Headphone,None,None,Handgun,None,None,53.33718563965329,6629
6629,Darker Hold,None,Formal Dress,Smile,Blue,Darker,Short Ponytail,Blue,None,None,None,None,None,None,None,None,None,None,None,Soda,None,None,28.518877551232002,6630
6630,None,None,Light Open Vest,Hmm,Hazel,Dark,Messy,Dark,None,Blood Mark,None,None,None,None,None,None,None,None,None,None,None,None,16.829058369436186,6631
6631,Default Hold,HAUS Cap,Pink Ribbonstar,Big Smile,Green,Default,Long Flowy Locks,Navy,None,None,None,None,None,None,None,None,None,None,None,Soda,None,None,41.057129432046445,6632
6632,Default Hand Palm,None,Bikini,Censored,Blue,Default,Bob,Blue,None,Mark,None,None,None,None,None,None,None,None,Karambit,None,None,None,42.37587174665429,6633
6633,None,None,Winter Jacket,Grunt,Silver,Darker,Short Spiky,White,None,None,None,None,None,None,Silver,None,None,None,None,None,None,None,20.024775995987582,6634
6634,Default Hand Face,None,Plain Haus Denim,Face Mask,Green,Default,Messy,Red,None,None,None,None,None,None,None,None,None,None,None,None,None,None,12.290852322757127,6635
6635,Pale Hand Face,None,Black Haus Hoodie,Biting Lips,Silver,Pale,Shag,Red,None,None,None,None,None,Fangs,None,None,None,None,None,None,None,None,33.596246631453155,6636
6636,None,None,Orange Camo,Hmm,Closed,Dark,Two Block,Green Gray,None,None,Red Sheathed Katana,None,None,None,None,None,None,None,None,None,None,None,13.447450641399064,6637
6637,Default Hand ETH,None,Edge Jacket,Grin,Silver,Default,Messy,White,None,None,None,None,None,None,None,None,None,None,None,None,None,None,12.16217353962801,6638
6638,Default Hold,None,Dark Formal Dress,Face Mask,Void,Default,Long Flowy Locks,Blue,None,None,None,None,None,None,None,None,None,None,None,Revolver,None,None,27.307821172608943,6639
6639,None,None,Skelly Jacket,A,Green,Darker,Long Side Swept,Green Gray,Stargazer,None,None,None,None,None,None,Quiver,None,None,None,None,None,None,34.48533409769529,6640
6640,None,None,Turtleneck Blazer,A,Hazel,Fiend,Slick Back,Light Purple,None,Boston Glasses,Dark Sheathed Katana,None,None,None,None,Dark Oni Head,None,None,None,None,None,None,47.2682907329132,6641
6641,None,None,Light Open Vest,Pout,Lavender Sunrise,Demon,Two Block,Red,None,None,None,None,None,None,None,None,None,None,None,None,None,None,7.066474327148141,6642
6642,None,None,Blue Racer,Pout,Blue,Pale,Long Side Swept,Light Purple,Feathers,None,Katana,None,Bow,None,None,Quiver,Dark Headphone,None,None,None,None,None,79.11741898604463,6643
6643,None,None,White Streetsuit,Smile,Pink,Darker,Buzz Cut,Green Gray,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4.000750349973208,6644
6644,None,None,Dark Streetsuit,Mumble,Red,Demon,Side Fringe,Off White,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5.25209629020138,6645
6645,None,None,Red Yukata Varsity,Bubblegum,Hazel,Darker,Side Fringe,Navy,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4.967038422446508,6646
6646,None,None,Brown Koi Tees,Grin,Pink,Darker,Long Twintail,Red,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3.797414367276354,6647
6647,None,None,Yellow Trainer,Hmm,Hazel,Dark,Long Locks,Green Gray,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.440033705451496,6648
6648,Dark Open R,None,Green Bomber,Censored,Silver,Dark,Messy,Dark,None,None,None,None,None,None,None,None,None,Apple,None,None,None,None,30.590063794808053,6649
6649,None,None,Red Halter,Grin,Hazel,Darker,Bun,Green Gray,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3.835649096971059,6650
6650,None,Spacehelm,Party Blood,Bubblegum,Pink,Dark,Bun,Purple,None,None,Dark Machete,None,None,None,None,None,None,None,None,None,None,None,28.245665422581972,6651
6651,None,None,Blue Racer,Big Smile,Eye Cover,Demon,Long Side Swept,Off White,Icy Wind,None,None,None,None,None,None,None,None,None,None,None,None,None,21.748727886130986,6652
6652,Default Open L,None,White Yukata Varsity,Hmm,Pink,Default,Long Fringe,White,None,None,Tech Sword,phase.module [a globe is rolling] v0.03,None,None,Silver,None,None,None,None,None,None,None,55.1092904369813,6653
6653,Default Hand Face,None,Red Trainer,Grunt,Black,Default,Short Spiky,White,None,None,Sawn-off,None,None,Fangs,None,Dark Oni Head,None,None,None,None,None,None,54.99648314822059,6654
6654,Dark Hold,None,Navy Haus T-Shirt,Big Smile,Black,Dark,Long Flowy Locks,Purple,None,None,None,None,None,None,None,Quiver,None,None,None,Card,None,None,43.89084073004579,6655
6655,None,None,Red Yukata Varsity,Toothpick,Green,Dark,Side Fringe,Red,None,None,None,None,None,None,None,None,Crow,None,None,None,None,None,19.053340905210664,6656
6656,Default Hold,Ushanka,White Yukata Varsity,Meh,Green,Default,Bowl Cut,Blue,None,None,Dark Machete,None,None,None,None,None,None,None,None,Card,None,None,50.85802358109458,6657
6657,Default Hold,Navy Beanie,Black Haus Hoodie,Grin,Closed,Default,Bangs Short,Purple,None,Clear Glasses,None,None,None,None,Dice,None,None,None,None,Revolver,None,None,70.76559003847896,6658
6658,Default Hand Face,None,Dark Ether,Open,Black,Default,Straight Headband,Green Gray,None,None,None,None,None,Fangs,None,None,Crow,None,None,None,None,None,44.11504830335773,6659
6659,None,None,Brown Koi Tees,Big Smile,Silver,Dark,Bangs Short,Blue,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.7977188223176418,6660
6660,None,None,Green Yakuza Yukata,Meh,Silver,Dark,Braided Bun,Purple,None,None,None,None,Oni Half Mask,None,None,None,None,None,None,None,None,None,18.206983544685375,6661
6661,Default Hand ETH,Badges Cap,Light Open Jacket,Pout,Hazel,Default,Bowl Cut,Off White,None,None,Blue Saber,None,None,None,None,None,None,None,None,None,None,None,36.4876748376512,6662
6662,Default Open R,Navy Beanie,MURI Hoodie,Pout,Red,Default,Long Side Swept,White,Icy Wind,Oval Sunglasses,None,None,None,None,Ring,None,None,Flame,None,None,None,None,87.94559414614788,6663
6663,None,Badges Cap,White Leather Coat,Smile,Hazel,Dark,Two Block,Blue,Feathers,None,None,None,None,None,None,None,None,None,None,None,None,None,29.244644700645534,6664
6664,None,None,Fur Coat,Mask,Silver,Pale,Buzz Cut,Purple,None,None,None,None,None,None,None,None,None,None,None,None,None,None,6.305287711853818,6665
6665,None,None,Navy Ether,Smile,Red,Dark,Long Locks,Off White,None,None,Excalibur,None,None,None,None,None,None,None,None,None,None,None,13.918405565653508,6666
6666,None,None,Winter Jacket,Grin,Silver,Dark,Spiky,Purple,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.6381749951980322,6667
6667,None,None,Blue Male Yukata,A,Closed,Dark,Side Fringe,Navy,Chains,None,None,None,None,None,None,None,None,None,None,None,None,None,17.477267132059847,6668
6668,Default Hand Palm,None,Night Witch,Face Mask,Blue,Default,Academy,Off White,None,None,None,None,None,None,None,None,None,None,Cutter,None,None,None,28.875145821011692,6669
6669,None,None,Yakuza Yukata,Pout,Red,Dark,Bowl Cut,Dark,None,None,None,None,None,None,None,Quiver,None,None,None,None,None,None,17.32603682493213,6670
6670,None,None,Fur Coat,Bland,Black,Darker,Shag,Dark,None,None,None,None,None,None,None,Tomoe,None,None,None,None,None,None,19.009952686578053,6671
6671,None,None,Nu Sailor,Smile,Pink,Darker,Twin Bun,Purple,None,None,None,None,None,None,None,Crows,None,None,None,None,None,None,19.129877301840047,6672
6672,Darker Hand Face,None,Chain Yellow Shirt,Meh,Black,Darker,Long Fringe,Red,None,None,None,None,None,Fangs,None,None,None,None,None,None,None,None,30.7690912729093,6673
6673,Default Open R,None,Blue Yukata Varsity,Big Smile,Closed,Default,Side Fringe,White,None,None,None,None,None,None,None,Dove,None,Compass,None,None,None,None,43.74150975492628,6674
6674,Default Hand ETH,White Bucket Hat,Brown Koi Tees,Bubblegum,Closed,Default,Bangs Short,Green Gray,None,None,None,None,None,None,None,None,None,None,None,None,None,None,25.76848549515108,6675
6675,Darker Hand Face,Ushanka,Green Haus T-Shirt,Mask,Green,Darker,Messy,Purple,None,None,None,None,None,Silence,None,None,None,None,None,None,None,None,43.7536235960552,6676
6676,Pale Open L,None,Red Halter,Grunt,Pink,Pale,Long Locks,Purple,None,None,None,phase.module [a globe is rolling] v0.03,None,None,None,None,None,None,None,None,None,None,32.075842523524805,6677
6677,None,None,Light Bomber,Mask,Red,Demon,Shag,Blue,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3.6775664433508797,6678
6678,Default Hand ETH,None,White MURI Hoodie,Smile,Closed,Default,Long Locks,Navy,None,None,Red Excalibur,None,Smoke,None,None,None,None,None,None,None,None,None,38.628219450516646,6679
6679,Default Hand ETH,None,Orange Open Jacket,Open,Green,Default,None,Green Gray,None,None,None,None,None,None,None,None,None,None,None,None,Cat Helmet,None,29.596342132028948,6680
6680,Dark Hold,Agent Hat,Bomber,Mumble,Red,Dark,Buzz Cut,Off White,None,None,Ninjato,None,None,None,None,None,None,None,None,Golden Revolver,None,None,53.73857459364713,6681
6681,Default Hold,None,Open Jacket,A,Void,Default,Long Locks,Green Gray,None,None,None,None,None,None,None,None,None,None,None,Broken Arrow,None,None,29.014217620865228,6682
6682,Default Open L,None,Techno Biker,Hmm,Pink,Default,Short Fringe,Blue,None,None,None,phase.module [the generation] v0.02,None,None,None,None,None,None,None,None,None,None,26.31906069649968,6683
6683,None,None,Dark Jeans Hoodie,Mumble,Pink,Darker,Clean,Blue,None,None,Blue Saber,None,None,None,None,None,None,None,None,None,None,None,13.801989108047206,6684
6684,None,None,Light Fur Coat,Grin,Green,Demon,Bowl Cut,Dark,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5.123496463791595,6685
6685,None,None,White Haus T-Shirt,Grunt,Silver,Dark,Bangs Short,Green Gray,None,None,None,None,None,None,None,Giant Tomoe,None,None,None,None,None,None,17.463293595550553,6686
6686,None,Hat,Mono Demon Maiden,Grunt,Pink,Darker,Long Twintail,Green Gray,None,None,None,None,None,None,None,None,None,None,None,None,None,None,16.973382247827995,6687
6687,None,None,Green Haus T-Shirt,Bland,Hazel,Pale,Short Ponytail,Red,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5.7543462947448765,6688
6688,None,None,Admiral,Hmm,Hazel,Dark,Spiky,Navy,None,Browline Glasses,None,None,Gas Mask,None,None,None,None,None,None,None,None,None,32.50087821853098,6689
6689,Pale Open L,None,WAGMI Bomber,Big Smile,Eye Cover,Pale,Long Side Swept,Navy,None,None,Red Tech Sword,Flame,None,None,None,None,None,None,None,None,None,None,45.19245256096326,6690
6690,Default Hand ETH,None,Raider,Big Smile,Void,Default,Braided Bun,Red,None,None,None,None,None,None,None,None,None,None,None,None,None,None,13.074541413870763,6691
6691,None,None,Green Haus T-Shirt,Face Mask,Closed,Darker,Twin Bun,Purple,None,None,Dark Machete,None,None,None,None,None,None,None,None,None,None,None,14.900296300222053,6692
6692,None,None,Red Trainer,A,Red,Dark,Bob,Blue,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.7594995681857007,6693
6693,None,None,Black Haus T-Shirt,Toothpick,Closed,Dark,Slick Back,Light Purple,None,None,Tech Sword,None,None,None,None,None,None,None,None,None,None,None,14.307691114930876,6694
6694,Default Hand Face,None,Indigo City Assassin,Big Smile,Silver,Default,Bob,Green Gray,None,None,M4X,None,None,None,None,None,None,None,None,None,None,None,23.878015028365265,6695
6695,None,None,Light Technocoat,Pout,Pink,Dark,None,White,None,Scar,None,None,None,None,Dice,Giant Tomoe,None,None,None,None,White Helmet,None,65.52719790671495,6696
6696,None,None,Nu Sailor,Smile,Silver,Demon,Long Locks,Off White,None,None,Dark Edge,None,None,None,None,None,None,None,None,None,None,None,16.851889183351258,6697
6697,None,Ushanka,Chain White Shirt,Meh,Lavender Sunrise,Dark,Slick Back,Dark,None,None,None,None,None,None,None,None,None,None,None,None,None,None,17.44429839674936,6698
